Initial conditions [N0,M0,E0,B0] = [3.000e+09,9.000e+07,9.000e+07,2.000e+11] with main parameters used to perturb with sigma = 5.00e-02: rN = 1.60e-01,rMmax = 4.14e-01,rMmin = 2.14e-02,tau = 1.88e+01,kN = 2.50e+11,kM = 7.98e+10,mu = 4.81e-01,rB = 6.50e-02, rEff0 = 2.26e+00, alpha_1 = 4.29e+00, alpha_2 = 1.35e+00 ,Gamma_E = 3.00e-12,Gamma_B = 6.00e-11, stochastic threshold = 100
time to event	progression or cure?	params
400.60119401750865	progression	[0.166342, 0.423865, 0.0213061, 17.7017, 2.4513e11, 7.64682e10, 0.486681, 0.0694042, 2.4505, 4.32597, 1.23718, 3.3127e-12, 6.21877e-11]
341.94481706263804	progression	[0.149758, 0.408088, 0.0233812, 21.3693, 2.74217e11, 7.56548e10, 0.509901, 0.061494, 2.33399, 3.91966, 1.3111, 2.75154e-12, 5.83555e-11]
38.65594913082955	cure	[0.158919, 0.40354, 0.020181, 17.5571, 2.39068e11, 7.98192e10, 0.467056, 0.0692723, 2.32683, 4.63835, 1.29363, 2.89963e-12, 5.72605e-11]
279.0189596513842	progression	[0.177844, 0.404849, 0.0206895, 18.7904, 2.56601e11, 8.18088e10, 0.484613, 0.0671076, 2.22821, 4.23902, 1.39368, 3.08288e-12, 6.14134e-11]
47.815867681174446	cure	[0.160992, 0.449571, 0.020655, 19.7544, 2.41818e11, 7.90951e10, 0.482324, 0.0618946, 2.16884, 3.92197, 1.3047, 3.07774e-12, 6.12905e-11]
18.17279987731921	cure	[0.150862, 0.420275, 0.0199591, 19.813, 2.60241e11, 8.37513e10, 0.502987, 0.067105, 2.19027, 4.30899, 1.41756, 2.78322e-12, 6.01085e-11]
28.94054704531848	cure	[0.151085, 0.417725, 0.0219829, 17.4786, 2.72996e11, 8.31719e10, 0.481899, 0.0661257, 2.29006, 4.26864, 1.35371, 3.03602e-12, 5.62884e-11]
13.696771248973269	cure	[0.155036, 0.458928, 0.0221413, 18.3521, 2.56242e11, 8.11039e10, 0.503782, 0.065644, 2.5027, 4.26815, 1.38534, 2.87265e-12, 6.41766e-11]
321.56020714157285	progression	[0.164077, 0.430933, 0.0205822, 18.9094, 2.31313e11, 7.40148e10, 0.492519, 0.0670639, 2.05509, 4.42469, 1.37207, 3.00598e-12, 5.40102e-11]
350.23332256669295	progression	[0.157498, 0.377663, 0.0185295, 18.5105, 2.60905e11, 7.90692e10, 0.489386, 0.0646539, 2.03646, 4.38466, 1.50042, 3.06336e-12, 6.42041e-11]
386.2425645654173	progression	[0.161554, 0.43773, 0.0223298, 19.8782, 2.73689e11, 8.00907e10, 0.439105, 0.0718092, 2.30096, 4.16329, 1.32771, 3.07651e-12, 6.07173e-11]
376.9689993451408	progression	[0.157635, 0.415, 0.0218472, 18.4471, 2.63643e11, 7.58334e10, 0.467057, 0.0646738, 2.27325, 4.10898, 1.38067, 3.03551e-12, 6.04253e-11]
344.66105741737306	progression	[0.156862, 0.411789, 0.0209919, 20.363, 2.6087e11, 7.66399e10, 0.507117, 0.0605276, 2.13327, 4.34729, 1.38071, 3.28651e-12, 6.1075e-11]
